Time	DO	OURex
min	mg/l	mg/l/min
31.2796883	8.09324592	0.0005094
31.296615	8.10202797	-0.0002316
31.3127617	8.10117628	-0.000858
31.3302083	8.09644531	-0.00207
31.346875	8.11039437	-0.002562
31.3640633	8.11573124	-0.001482
31.38047	8.10787017	-0.000972
31.3976567	8.11248001	-0.001044
31.4140633	8.1188167	-0.0001758
31.43099	8.11660355	0.000708
31.4479167	8.11584354	0.001182
31.4638033	8.1181705	0.00159
31.48047	8.1226953	0.00201
31.4971367	8.12088547	0.002418
31.5143233	8.11338456	0.001788
31.53099	8.12354879	0.001056
31.546355	8.13251943	0.001848
31.5635417	8.12786201	0.00273
31.58099	8.12181033	0.002232
31.5971367	8.12382325	0.00081
31.6143233	8.13121001	-0.0002472
31.6302083	8.1357628	-0.0001248
31.6476567	8.13422122	0.000549
31.6640633	8.12832228	0.000444
31.6817717	8.13088161	-0.0004338
31.696875	8.1377769	-0.00111
31.7130217	8.13264879	-0.002046
31.73099	8.13412317	-0.003264
31.7473967	8.14124589	-0.00387
31.7640633	8.13873639	-0.004554
31.7815117	8.14202383	-0.005388
31.7973967	8.14817315	-0.005712
31.814845	8.15383013	-0.005244
31.8317717	8.15895511	-0.004032
31.8476567	8.15508419	-0.002838
31.8638033	8.1544073	-0.001806
31.8802083	8.15671622	-0.001182
31.8955733	8.15724051	-0.001104
31.91224	8.15678485	-0.00156
31.9289067	8.16116044	-0.001668
31.9458333	8.15704728	-0.001656
31.9635417	8.15642507	-0.002256
31.9802083	8.16718878	-0.002208
31.996355	8.16765628	-0.00153
32.0135417	8.16534922	-0.00129
32.0302083	8.16604135	-0.001506
32.0458333	8.17036645	-0.001692
32.0635417	8.17566585	-0.001152
32.0794283	8.17436011	-0.0004716
32.096615	8.16898587	-0.000882
32.1138033	8.17124814	-0.00177
32.13073	8.18231641	-0.000822
32.1471367	8.18116062	0.000774
32.1627617	8.17174089	0.00072
32.1796883	8.171385	-0.0003702
32.1971367	8.17182171	-0.001776
32.214845	8.17989283	-0.00294
32.2315117	8.18829311	-0.003138
32.2486983	8.18678622	-0.00279
32.2638033	8.19069039	-0.002028
32.28047	8.18671475	-0.001416
32.296615	8.17951591	-0.00237
32.3143233	8.18421717	-0.003954
32.3302083	8.18410591	-0.005484
32.346355	8.18173918	-0.00750234
32.3632817	8.18742042	-0.00948408
32.38099	8.19262783	-0.011115
32.3973967	8.18046465	-0.0131436
32.4252617	8.18396341	-0.01533222
32.440365	8.20222059	-0.01627242
32.4565117	8.20214039	-0.01633044
32.4736983	8.20632674	-0.0159825
32.490365	8.20029138	-0.01603512
32.50599	8.20288765	-0.01667874
32.5223967	8.20468392	-0.0166362
32.5393233	8.19587684	-0.01705572
32.5565117	8.1987673	-0.018402
